doy,year,tmax,tmin
212,2069,35.06381102,26.44715691
213,2040,36.8355785,23.35799625
213,2041,36.77320936,25.45111222
213,2042,36.38244591,25.18628955
213,2043,35.79772663,23.45784731
213,2044,34.42886126,24.9644526
213,2045,35.13803062,24.99899469
213,2046,36.79225126,26.26991081
213,2047,33.58075837,24.30768802
213,2048,36.05997155,23.47408899
213,2049,37.20813751,24.46895843
213,2050,32.12598615,25.14867706
213,2051,32.04184173,24.10240758
213,2052,38.69392776,26.55360222
213,2053,38.96004105,24.62108909
213,2054,33.54994166,23.42686961
213,2055,36.29236064,25.70692253
213,2056,31.53991652,25.0865013
213,2057,33.56747895,25.26458495
213,2058,34.795611,25.7572155
213,2059,35.17134687,25.48963737
213,2060,34.00715357,25.34115324
213,2061,33.89549378,25.07863338
213,2062,36.46760114,27.74647331
213,2063,35.72324427,24.06663953
213,2064,39.52595901,24.6444938
213,2065,27.22622458,23.58694656
213,2066,32.3714613,25.70741081
213,2067,32.88470626,23.70415322
213,2068,34.00104587,24.84048489
213,2069,36.31940116,27.07118034
214,2040,36.38020145,22.97185233
214,2041,35.2211385,24.67918191
214,2042,36.53552082,24.70853606
214,2043,35.92235434,23.4847908
214,2044,29.99998046,25.01720241
214,2045,34.29487723,24.70131588
214,2046,36.43968879,24.69480589
214,2047,34.13654315,23.73889535
214,2048,35.40751665,23.05476594
214,2049,36.60430944,24.75872219
214,2050,35.03274338,25.87867546
214,2051,30.855796,23.52471182
214,2052,33.1450452,25.01336649
214,2053,37.15067148,24.66343956
214,2054,34.94598953,22.37667036
214,2055,35.32543166,24.91725523
214,2056,29.61998093,24.32453894
214,2057,36.98619258,23.66728309
214,2058,33.87580705,23.75544739
214,2059,33.76217108,24.45801083
214,2060,30.49389193,23.85489136
214,2061,31.6272876,24.0674592
214,2062,35.01560238,26.8867321
214,2063,33.32177169,24.16209872
214,2064,31.79448374,24.62151584
214,2065,27.95016779,23.50316935
214,2066,34.98240526,24.88976442
214,2067,28.70572558,23.98261525
214,2068,35.34158553,26.04395866
214,2069,31.94333546,25.60005008
215,2040,35.13953236,24.6051786
215,2041,34.46799117,24.78050108
215,2042,36.72329911,24.91917319
215,2043,35.65127292,23.18774183
215,2044,31.28511454,22.65905735
215,2045,33.28176137,24.32987782
215,2046,36.176781,23.75206942
215,2047,31.98393353,24.2067632
215,2048,36.18090946,23.91026646
215,2049,36.64646076,24.90638677
215,2050,34.62870762,24.24208994
215,2051,29.96601279,22.48535593
215,2052,31.05781416,25.24032545
